Username,Judul,Tipe Koleksi,Tanggal Dipinjam,Harus Kembali,Status Pengembalian
,"Tafsir al-Mishbah: pesan, kesan dan keserasian al-qur an (v.13)",Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
pascasarjana,"Kebangkitan Islam dalam ekonomi petani yang sedang berubah, Sumatera Tengah, 1784-1847",Buku Teks,1/15/2020,1/15/2020,Sudah Kembali
pascasarjana,Mengerti sejarah,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
pascasarjana,Mengerti sejarah,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
pascasarjana,Asal-Usul Elte Minangkabau Modern : respon Terhadap Kolonoal Belanda Abad XIX/XX,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
pascasarjana,Filsafat pendidikan akhlak Ibnu Miskawaih,Buku Teks,1/15/2020,1/15/2020,Sudah Kembali
pascasarjana,Fikih Kawin Anak: Membaca Ulang Teks Keagamaan Perkawinan Usia Anak-Anak,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Pesantren Perkotaan Pergumulan Tradisi dan Modernitas,Tesis,1/15/2020,1/22/2020,Sudah Kembali
,Motivasi dan Kepribadian 1,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Penerapan Psikologi sosial,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Psikologi perkembangan : pengantar dlm berbagai bagiannya,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Dahsyatnya Berperasaan Positif,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Modernisme dan Fundamentalisme dalam Politik Islam: Perbandingan Partai Masyumi (Ind.) dan Partai Jama at al-Islam (Pakistan),Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
,Islam dan masalah kenegaraan : Studi tentang pencaturan dalam Konstituante,Buku Teks,1/15/2020,1/22/2020,Sudah Kembali
pascasarjana,Pengantar ilmu hukum,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
pascasarjana,Formulasi Nalar Fiqh : Telaah Kaidah Fiqh Konseptual (buku 2),Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Qualitative Research For Education,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Kafilah al-Fatihah : Kisah para penjelajah induk al-Quran,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Mutiara al-Quran : aktualisasi pesan al-Quran dalam kehidupan,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Hukum perkawinan Islam,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Kawin Beda Agama di Indonesia: Telaah Syariah dan Qaniniah,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Spiritual marketing,Disertasi,1/16/2020,1/23/2020,Sudah Kembali
,Persepsi dan perilaku konsumen muslim terhadap produk makanan cepat saji : studi perlindungan konsumen dalam ekonomi Islam,Tesis,1/16/2020,1/23/2020,Sudah Kembali
,Konstruksi Baru Budaya Hukum Hakim Berbasis Hukum Progresif,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Muqaddimah Ibn Khaldun,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Reformasi Hukum Islam di Indonesia,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,"Mediasi Dalam Hukum Syariah, Hukum Adat, dan Hukum Nasional",Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
,Islam menggugat poligami,Buku Teks,1/16/2020,1/23/2020,Sudah Kembali
pascasarjana,Kesaksian Pengantin Bocah,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Urgensi Maslahat Mursalah Dalam Dialektika Pemikiran Hukum Islam,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Fiqh perbandingan masalah pernikahan,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Spektrum Baru Pendidikan Madrasah,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Pengembangan Madrasah Aliyah Akademik dan Keagamaan di Indonesia Bagian Barat,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Madrasah: dalam Politik Pendidikan di Indonesia,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Panduan Integrasi Nilai Multikultur Dalam Pendidikan Agama Islam Pada SMA dan SMK,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Perlawanan Kiai desa: pemikiran dan gerakan Islam KH. Ahmad RifaI Kalisalak,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Gerakan politik kaum tarekat: telaah historis gerakan politik antikolonil tarekat Qadariayah-Naqsabandiyah di Jawa,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
pascasarjana,Sejarah Sosial Kesultanan Ternate,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
21151200100055,Ithaf Al-Dhaki : tafsir wahdatul wujud bagi muslim nusantara,Buku Teks,1/17/2020,1/24/2020,Sudah Kembali
,Concept of belief in Islamic theology : a semantic analysis of iman and Islam,Buku Teks,1/18/2020,1/25/2020,Sudah Kembali
,Relasi tuhan dan manusia : Pendekatan semantik terhadap al-quran,Buku Teks,1/18/2020,1/25/2020,Sudah Kembali
,Manhal al-latif fi usul al-hadith al-sharif,Buku Teks,1/18/2020,1/25/2020,Sudah Kembali
21190110000001,Qualitative Research: A Guide to Design and Implementation,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Pembaruan Islam dan orientalisme dalam sorotan,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,islam melawan teroris,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,islam melawan teroris,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Sosiologi klasik dari Comte hingga Parsons: saduran dari The nature and types of sociological theory,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Teori dan paradigma penelitian sosial : dari Denzin Guba dan penerapannya,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Sosiologi suatu pengantar,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Islamku Islam anda Islam kita: agama masyarakat negara demokrasi,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Tafsir Tarbawi: Nilai-Nilai Pendidikan Dalam al-Quran,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Hukum berkeadilan Jender,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,sisi-sisi lain dari hukum di Indonesia,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,"Perbandingan Sistem Hukum ; Common law, civil law dan socialist law",Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Menggapai Hukum Berkeadilan Tinjauan Hukum Kodrat dan Antinomi Nilai,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Ilmu Hukum,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,New social movements: from ideology to identity,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Methods Of Social Movement Research,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,"States, Parties, and social Movements",Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,social movements abd organization theory,Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,"Hukum negara; suatu study tentang prinsip-prinsipnya dilihat dari segi hukum islam, implementasinya pada periode negara madinah dan masa kini",Buku Teks,1/20/2020,1/27/2020,Sudah Kembali
,Dinamika Tarekat Syathariyah: Peran Tuanku dan Kaum Adat Terhadap Keberagaman Masyarakat Minangkabau,Disertasi,1/21/2020,1/28/2020,Sudah Kembali
,Sains dan Matematika dalam Islam,Buku Teks,1/21/2020,1/28/2020,Sudah Kembali
,Methods of social movement research,Buku Teks,1/21/2020,1/28/2020,Sudah Kembali
,Tanggung Jawab Sosial dan Kinerja Keuangan (studi pada bank umum syariah di indonesia),Tesis,1/21/2020,1/28/2020,Sudah Kembali
21151200100055,Peran auditor terhadap kualitas laporan keuangan dalam perspektif akuntansi syariah,Disertasi,1/22/2020,1/29/2020,Sudah Kembali
21141200000034,Penafsiran ayat ahkam al-Zuhailiy dalam tafsir al-Munir,Disertasi,1/22/2020,1/29/2020,Sudah Kembali
,"Kebangkitan Kelas Menengah Santri : dari Tradisionalisme, Liberalisme, Posttradisionalisme, Fundamentalisme",Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Fatwa dalam sistem hukum islam,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,"Fatwa Hubungan Antaragama di Indonesia Kajian Kritis Tentang Karkateristik, Praktik, dan Implikasinya",Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Pembaharuan Pesantren,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Falsafat pendidikan Islam,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Bunga rampai pendidikan Islam,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Etos studi kaum santri ; wajah baru pendidikan islam,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Manajemen Pendidikan Islam,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
,Educational philosophy of the holy Quran,Buku Teks,1/22/2020,1/29/2020,Sudah Kembali
pascasarjana,Dinamika Fatwa Mudharabah dan Murabahah di Indonesia dan Malaysia,Disertasi,1/23/2020,1/30/2020,Sudah Kembali
,Islam mazhab pemikiran dan aksi,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,sunnah syiah Bergandengantangan ! Mungkinkah?,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Damai Dalam Budaya: integritas Syiah Dalam Komunitas Ahlussunah waljamaah Di Indonesia,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Gelombang perubahan dalam Islam,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,"Islam Ahlussunnah wal Jamaah di Indonesia : sejarah, pemikiran, dan dinamika Nahdlatul Ulama",Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Syariahpreneur Dalam Mawujudkan Kesejahteraan Masyarakat,Disertasi,1/23/2020,1/30/2020,Sudah Kembali
,Perubahan sosial profetik: analisis konsep tahapan perubahan sosial Al-Qur'an,Tesis,1/23/2020,1/30/2020,Sudah Kembali
,Islam and the Malay-Indonesian world: transmission and responses,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Mystical Dimensions Of Islam,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Islamic thought in the 21th century,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,The origins of Islamic reformism in southeast Asia: Networks of Malay-Indonesian and Middle Eastern 'Ulama' in the seventeenh and eighteenth centures,Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,"From Shamanism to sufism : women, Islam and Culture in Central Asia",Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Modernisme dan Fundamentalisme dalam Politik Islam: Perbandingan Partai Masyumi (Ind.) dan Partai Jama at al-Islam (Pakistan),Buku Teks,1/23/2020,1/30/2020,Sudah Kembali
,Analisis Efisiensi dan Produktivitas Perbankan Syariah Di Indonesia dan Di Negara Lainnya,Tesis,1/23/2020,1/30/2020,Sudah Kembali
pascasarjana,Arus Tradisi Tadwin Hadis dan Histografi Islam,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
pascasarjana,Hadis Nabawi dan Sejarah Kodifikasinya,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
pascasarjana,Ulumul Hadis,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
pascasarjana,Panduan Integrasi Nilai Multikultur Dalam Pendidikan Agama Islam Pada SMA dan SMK,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
,Early Islamic Mysticism,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
,History of The Arabs,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
,The venture of islam; iman dan sejarah dalam peradaban dunia,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
,Tasawuf dari Noe Sufisme Klasik ke Neo Sufisme,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
,Jalan sufi: reportase dunia marifat terjemah The Way of the sufi,Buku Teks,1/24/2020,1/31/2020,Sudah Kembali
pascasarjana,Manajemen Sumber daya manusia,Buku Teks,1/27/2020,2/3/2020,Sudah Kembali
pascasarjana,Managemen sumber daya manusia - Human resource management 7e,Buku Teks,1/27/2020,2/3/2020,Sudah Kembali
pascasarjana,Paradigma baru manajemen sumber daya manusia,Buku Teks,1/27/2020,2/3/2020,Sudah Kembali
pascasarjana,Manajemen personalia : segi manusia dan organisasi Vol.2,Buku Teks,1/27/2020,2/3/2020,Sudah Kembali
pascasarjana,SDM yang produktif : pendekatan al-quran & sains,Buku Teks,1/27/2020,2/3/2020,Sudah Kembali
,Pembelajaran bahasa Arab berbasis multiple intelligences : studi kasus di pondok pesantren Darul Muttaqien Bogor,Disertasi,1/27/2020,2/3/2020,Sudah Kembali
,Penanaman nilai-nilai Islam melalui multiple intelligences: studi di sSekolah Alam Tangerang,Disertasi,1/27/2020,2/3/2020,Sudah Kembali
,Peran Pendidikan Moral Di Keluarga dan Sekolah Terhadap Karakter siswa,Tesis,1/27/2020,2/3/2020,Sudah Kembali
,Pendidikan Karakter TNI Dalam Bingkai Modernisasi,Disertasi,1/27/2020,2/3/2020,Sudah Kembali
,Pendidikan Berorientasi Akhlak di Madrasah Pembangunan UIN Jakarta,Tesis,1/27/2020,1/27/2020,Sudah Kembali
,Pendidikan humanis: mengarusutamakan nilai-nilai kemanusiaan dalam praktek pendidikan Islam di Indonesia,Tesis,1/27/2020,1/27/2020,Sudah Kembali
