Username,Judul,Tipe Koleksi,Tanggal Dipinjam,Harus Kembali,Status Pengembalian
pascasarjana,Kearifan lokal budaya Bugis dan pluralisme: studi pendidikan karakter pada Perguruan Tinggi di Kota Palopo tahun 2017-2020,Disertasi,1/24/2022,1/31/2022,Sudah Kembali
,Pengenalan eksklusif ekonomi islam,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Sejarah Sosial Kerajaan Hitu Ambon,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Pendidikan Karakter Berbasis Tradisi Pesantren: Kumpulan Buku ajar,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Visi dan pondasi pendidikan: dalam perspektif Islam,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Pendidikan paspor masa depan : prioritas pembangunan dalam otonomi daerah,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Isu-isu Kontemporer Hukum Islam,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
,Urgensi Maslahat Mursalah Dalam Dialektika Pemikiran Hukum Islam,Buku Teks,1/20/2022,1/27/2022,Sudah Kembali
pascasarjana,Studi Islam,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
pascasarjana,Pendekatan studi Islam dalam teori dan praktek,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
pascasarjana,Metodologi Studi Islam,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
,Sastra dan Ilmu Sastra,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
,Psikolinguistik: Kajian teoretik,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
,Peran dan kepentingan Malaysia dalam penyelesaian konflik Thailand Selatan 2005-2013,Tesis,1/19/2022,1/26/2022,Sudah Kembali
,Diplomasi poros maritim Indonesia: perspektif politik Internasional dan Fiqh Siyasah Dauliyah,Tesis,1/19/2022,1/26/2022,Sudah Kembali
pascasarjana,"Agama, komunikasi politik dan elektabilitas",Disertasi,1/19/2022,1/26/2022,Sudah Kembali
,Reorientasi hukum keluarga Islam,Disertasi,1/19/2022,1/26/2022,Sudah Kembali
,Isu-isu Kontemporer Hukum Islam,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
,Urgensi Maslahat Mursalah Dalam Dialektika Pemikiran Hukum Islam,Buku Teks,1/19/2022,1/26/2022,Sudah Kembali
pascasarjana,Internalisasi Nilai agama Melalui Kebijakan Publik: Dakwah Struktural Bandung agamis,Disertasi,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Muhammad Sang Pembela,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,"Metode penelitian kuantitatif, kualitatif dan R&D",Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Studi Kitab Ara? Ahl al-Madinah al- Fadilah karya al-Farabi dan Relevansinya dengan Pancasila,Disertasi,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Moderasi Islam berbasis tradisi Pesantren: studi kasus Ma'had Aly As'adiyah Sengkang Kabupaten Wajo Sulawesi Selatan,Tesis,1/18/2022,1/25/2022,Sudah Kembali
,Mediasi penyelesaian perkara dalam wilayah hukum pengadilan tinggi agama Banten 2012-2016,Disertasi,1/18/2022,1/25/2022,Sudah Kembali
,Putusan Mahkamah Konstitusi (MK) Terhadap Anak Hasil Nikah Sirri (Analisis Putusan Mahkamah Konstitusi N.46/PUU VIII/2010),Tesis,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Kritik Nalar Politik Siyasah: Ijtihad politik Abdul Wahab Chasbullah Dalam Banten Konstituante (1956 - 1959),Tesis,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,The Transformation of Islamic Law in Global Financial Markets,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Menilai Harga Wajar Saham,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Economic data for investors in Indonesia,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Pasar modal sebagai sarana pembiayaan dan investasi,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Investasi Pada Pasar Modal Syariah,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
pascasarjana,Hukum Pasar Modal di Indonesia,Buku Teks,1/18/2022,1/25/2022,Sudah Kembali
,Argumen maslahah dalam putusan pengadilan,Disertasi,1/17/2022,1/24/2022,Sudah Kembali
,Penyelesaian hukum keluarga di Pengadilan Agama Provinsi Jambi: analisis putusan tentang faktor penyebab tingginya tingkat perceraian,Disertasi,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,"Pendidikan multikultural pada budaya sekolah: studi kasus pada pendidikan menengah di Pangkalpinang, Bangka",Disertasi,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,Pendidikan Toleransi Beragama (Kajian atas Pembelajaran Agama Di Binus School Jakarta),Disertasi,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,Gagasan multikulturalisme dalam konteks kelompok keagamaan: perspektif William A. Galston dan Yusuf Al-Qardawi,Tesis,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,Multiculturalism in Canada: The Challenge of Diversity,Buku Teks,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,Multiculturalism Reconsidered,Buku Teks,1/17/2022,1/24/2022,Sudah Kembali
pascasarjana,Ilmu Ushul Fiqih Satu dan Dua,Buku Teks,1/13/2022,1/20/2022,Sudah Kembali
pascasarjana,Ushul Fiqih,Buku Teks,1/13/2022,1/20/2022,Sudah Kembali
pascasarjana,Kaidah-kaidah Fikih ; Kaidah-kaidah hukum islam dalam menyelesaikan masalah-masalah yang praktis,Buku Teks,1/13/2022,1/20/2022,Sudah Kembali
pascasarjana,Sejarah kesusastraan melayu klasik jilid 1 & 2,Buku Teks,1/12/2022,1/19/2022,Sudah Kembali
,Politik pendidikan agama di sekolah: studi tentang polemik pendidikan agama dalam UU No.20 Tahun 2003 tentang sistem pendidikan nasional,Disertasi,1/12/2022,1/19/2022,Sudah Kembali
,Paradigma Dakwah Sayyid Quthub,Buku Teks,1/12/2022,1/19/2022,Sudah Kembali
,Visual Thinking Siswa Tunarungu dalam Pembelajaran Pendidikan Agama Islam pada Kelas Inklusi,Disertasi,1/11/2022,1/18/2022,Sudah Kembali
,Pendidikan Karakter Berbasis Tradisi Pesantren: Kumpulan Buku ajar,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
,Visi dan pondasi pendidikan: dalam perspektif Islam,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
,Kearifan lokal budaya Bugis dan pluralisme: studi pendidikan karakter pada Perguruan Tinggi di Kota Palopo tahun 2017-2020,Disertasi,1/11/2022,1/18/2022,Sudah Kembali
,Pendidikan paspor masa depan : prioritas pembangunan dalam otonomi daerah,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
,Pengenalan eksklusif ekonomi islam,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Psikologi kependidikan : perangkat sistem pengajaran modul,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Psikologi Pendidikan,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Pengembangan Peserta Didik,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Pendidikan Moral,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Psikologi Pendidikan Islam,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Pendidikan karakter menjawab tantangan krisis multidimensional,Buku Teks,1/11/2022,1/18/2022,Sudah Kembali
pascasarjana,Panduan Integrasi Nilai Multikultur Dalam Pendidikan Agama Islam Pada SMA dan SMK,Buku Teks,1/10/2022,1/17/2022,Sudah Kembali
,Manusia dan kebudayaan di Indonesia,Buku Teks,1/7/2022,1/14/2022,Sudah Kembali
,Ruh Islam dalam budaya bangsa : aneka budaya di Jawa,Buku Teks,1/7/2022,1/14/2022,Sudah Kembali
,Tasawuf dari Noe Sufisme Klasik ke Neo Sufisme,Buku Teks,1/7/2022,1/14/2022,Sudah Kembali
,Budaya & Masyarakat,Buku Teks,1/7/2022,1/14/2022,Sudah Kembali
pascasarjana,Islam dan realitas sosial dimata intelektual muslim Indonesia,Buku Teks,1/7/2022,1/14/2022,Sudah Kembali
pascasarjana,Eksklusivisme Tafsir: konsep keberagamaan dalam Tafsir Muhammad bin Salih al-?Uthaimin,Tesis,1/7/2022,1/14/2022,Sudah Kembali
,Ilmu Hadits Praktis,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,"Metode penelitian kuantitatif, kualitatif dan R&D",Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Masjid & dakwah,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Perjumpaan dan Penerimaan Memenangkan Hati dan Pikiran rakyat Lebanon oleh Prajurit TNI,Disertasi,1/6/2022,1/13/2022,Sudah Kembali
,Masa depan ilmu ekonomi ; sebuah tinjauan Islam,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,Ekonomi islam di tengah krisis ekonomi global,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,"Ekonomi Islam, Kelembagaan, dan Konteks Keindonesiaan : Dari Poitik Makro Ekonomi Hingga Realisasi Mikro",Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,Etika Produksi Dalam Perspektif ekonomi Islam,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,Islam dan penegakan ekonomi yang berkeadilan,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,Transformasi hukum Islam ke dalam sistem hukum nasional : studi hukum UU No. 1 Th. 1974 tentang Perkawinan,Disertasi,1/6/2022,1/13/2022,Sudah Kembali
,Modernisasi hukum Keluarga Di Indonesia (1974-2008),Disertasi,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Cakrawala Linguistik Arab,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Diwan Imam Asy-Syafi'ie,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Multiculturalism in Canada: The Challenge of Diversity,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
pascasarjana,Multiculturalism Reconsidered,Buku Teks,1/6/2022,1/13/2022,Sudah Kembali
,Pendidikan Agama pada Kurikulum Internasional,Tesis,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,Implementasi budaya toleransi dalam pendidikan agama,Disertasi,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,Pendidikan di Sekolah Berbasis Agama Dalam Perspektif Multkultural Studi Kasus Pada Sekolah Islam dan Sekolah Kristen di Sumatera Utara,Disertasi,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,Gerakan & pemikiran Islam kontemporer: kontestasi diskursus radikalisme di media massa,Disertasi,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,"Resolusi konflik berbasis teologi bakubae: studi konflik ambon, 1999-2002",Disertasi,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,Kebijakan politik ruang negeri Indonesia: studi diplomasi pemerintahan era reformasi 1998-2018 dalam upaya penyelesaian konflik Israel-Palestina,Disertasi,1/5/2022,1/12/2022,Sudah Kembali
,"Money, Islamic Banks and Real Economy",Buku Teks,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,"Pertimbangan hakim dalam penyelesaian sengketa akad pembiayaan syariah di Indonesia, Malaysia, dan Inggris",Disertasi,1/5/2022,1/12/2022,Sudah Kembali
pascasarjana,Tajdid Amin Al-Khuli fii Ta'lim Al-Balaghah wa 'Alaqatuhu bi al-Uslubiyyah wa Al-Falsafah At-Tarbawiyah Al-Insaniyah,Disertasi,1/5/2022,1/12/2022,Sudah Kembali
,Al-Akhlaq = etika ( ilmu akhlak ),Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,Kearifan lokal budaya Bugis dan pluralisme: studi pendidikan karakter pada Perguruan Tinggi di Kota Palopo tahun 2017-2020,Disertasi,1/4/2022,1/11/2022,Sudah Kembali
,Kapitalismee dan Teori Sosial Modern,Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,Zakat Dan Pengentasan Kemiskinan,Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,Berbisnis dengan Allah: mizan al-amal,Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,Ekonomi Islam : teori dan praktek,Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,Islamic Finance and Law: Theory and Practice In A Globalized World,Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
,"""Bank syari'ah, dari teori ke praktik = islamic banking""",Buku Teks,1/4/2022,1/11/2022,Sudah Kembali
pascasarjana,Akhlak Tasawuf,Buku Teks,1/3/2022,1/10/2022,Sudah Kembali
pascasarjana,Tasawuf nusantara: rangakaian mutiara sufi terkemuka,Buku Teks,1/3/2022,1/10/2022,Sudah Kembali
pascasarjana,Model berpikir dalam pendidikan di pesantren (studi kasus pada pondok pesantren di Jawa Timur,Disertasi,1/3/2022,1/10/2022,Sudah Kembali
pascasarjana,Fiqh Demokratis,Buku Teks,1/3/2022,1/10/2022,Sudah Kembali
pascasarjana,Pembelajaran bahasa Arab berbasis multiple intelligences : studi kasus di pondok pesantren Darul Muttaqien Bogor,Disertasi,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,"Filsafat Pendidikan Islam : Integrasi Jasmani , Rohani dan Kalbu Memanusiakan Manusia",Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Filsafat pendidikan Islam,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,"Filsafat pendidikan Islam : pendekatan histories, teoritis dan praktis",Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Nuansa baru pendidikan Islam: mengurai benang kusut dunia pendidikan,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Filsafat pendidikan: perspektif Islam dan umum,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Pembaharuan Dan Faham Keagamaan Di Kalangan Generasi Muda Perti,Tesis,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Arkeologi islam nusantara,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Hijrah Selebritas: mengapa Salafi dan Jamaah Tabligh,Disertasi,3/2/2022,3/9/2022,Sudah Kembali
,Ekonomi Islam : teori dan praktek,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Keadilan dan demokrasi : telaah filsafat politik John Rawls,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Pembangunan sosial; persepektif pembangunan dalam kesejahteraan sosial,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Sistem Ekonomi Islam : prinsip dasar,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Doktrin ekonomi Islam jilid 1,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,"Ekonomi Islam, Kelembagaan, dan Konteks Keindonesiaan : Dari Poitik Makro Ekonomi Hingga Realisasi Mikro",Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Sharia & Constitional Refform in Indonesia,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Fiqh siyasah; implementasi kemaslahatan umat dalam rambu-rambu syariah,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,"Toward an Islamic reformation: civil liberties, human rigghts, and international law",Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,"""Fikih Responsif Dinamika Integrasi Ilmu Hukum, Hukum Ekonomi dan Hukum Keluarga Islam""",Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Filsafat hukum Islam,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
,Manajemen pendidikan terpadu Pondok Pesantren dan Perguruan Tinggi: studi multisitus di Ma'had Dalwa Bangil dan Pondok Ngalah Purwosari Pasuruan,Disertasi,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,Sosiologi Perubahan Sosial,Buku Teks,3/2/2022,3/9/2022,Sudah Kembali
pascasarjana,akulturasi islam dan budaya melayu: studi tentang ritus siklus kehidupan orang melayu di pelalawan provinsi riau,Buku Teks,3/1/2022,3/8/2022,Sudah Kembali
21191200000022,al-Wijhah al-Majaziyyah wa Jamaliyyat al-Khayal fi al-Qissoh al-Nabawiyyah: Dirasah Balaghiyyah fi Mawlid al-Barzanji,Tesis,3/1/2022,3/8/2022,Sudah Kembali
21191200000022,Al-Ittijah as-Sufi fi an-Nahwi al-'Arabi: Dirasah Hermeneutiqiyyah fi Kitab al-Futuhat al-Qudusiyyah li Ibn Ujaibah,Tesis,3/1/2022,3/8/2022,Sudah Kembali
,al Hujurat al Afriqiyah ghaira al Syar'iyyah ila Ariba min Mandhuri al Qanun ad Dauli wal Fiqh al Islamiyyah Dirasat Haula Libya,Tesis,2/25/2022,3/4/2022,Sudah Kembali
,Dirasat Naqdiyat Al Takattul Al Tarikhi 'Ala Qaidah Al Dimokratiah Fi Al Yaman,Disertasi,2/25/2022,3/4/2022,Sudah Kembali
,Asaaliib al-ma'anii fii tafsiir zahrah al-tafaasir : diraasah balaaghiyyah tahliliyyah,Disertasi,2/25/2022,3/4/2022,Sudah Kembali
,"Statecraft in the Middle East: oil, historical memory, and popular culture",Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
,Akhir Petualangan Osama Melawan Amerika,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
,"Globalization, Technological Change, and Public Education",Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
31191200000037,Enviromental anthropology: a historical reader,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
31191200000037,Violence in Islamic Thought,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
31191200000037,Islam Dan Ekologi Manusia,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
31191200000037,Ekologi Dan Krisis Kapitalisme,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
pascasarjana,Multicultural Education,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
pascasarjana,Cerita Sukses Pendidikan Multikultural Di Indonesia,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
pascasarjana,Memelihara Kerukunan melalui pendidikan multikultura,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
pascasarjana,"Multicultural Curriculum: New directions for Social Theory, Practice, and Policy",Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
pascasarjana,Multikulturalisme: Tantangan - Tantangan Global Masa Depan Dalam Transformasi Pendidikan Nasional,Buku Teks,2/24/2022,3/3/2022,Sudah Kembali
31191200000037,Ekologi Berwawasan Gender Dalam Perspektif Al-Qur'an,Disertasi,2/24/2022,3/3/2022,Sudah Kembali
,Model pembelajaran pendidikan agama islam berbasis teknologi digital,Disertasi,2/23/2022,3/2/2022,Sudah Kembali
pascasarjana,Pembaruan Pendidikan Islam di Indoneisa,Buku Teks,2/23/2022,3/2/2022,Sudah Kembali
pascasarjana,Memperbincangkan dinamika intelektual dan pemikiran HAMKA tentang pendidikan Islam,Buku Teks,2/23/2022,3/2/2022,Sudah Kembali
pascasarjana,Reformulasi pendidikan islam,Buku Teks,2/23/2022,3/2/2022,Sudah Kembali
pascasarjana,Reorientasi Pendidikan Islam,Buku Teks,2/23/2022,3/2/2022,Sudah Kembali
,Pendidikan progresif John Dewey: tinjauan di MAN Insan Cendekia Serpong Tangerang Selatan,Disertasi,2/23/2022,3/2/2022,Sudah Kembali
,Rekonstruksi pemahaman kelompok radikal terhadap hadis,Disertasi,2/23/2022,3/2/2022,Sudah Kembali
,Jejaring Radikalisme Islam di Indonesia : jejak sang pengantin bom bunuh diri,Buku Teks,2/23/2022,3/2/2022,Sudah Kembali
21191200000057,Metode A'isyah dalam kritik hadis,Disertasi,2/21/2022,2/28/2022,Sudah Kembali
,Modernisasi hukum Keluarga Di Indonesia (1974-2008),Disertasi,2/21/2022,2/28/2022,Sudah Kembali
,Keragaman Iman : Studi Komperatif Masyarakat Muslim,Buku Teks,2/21/2022,2/28/2022,Sudah Kembali
,Pendidikan Berwawasan Multikulturan Dalam Pengembangan Keberagamaan Integral,Tesis,2/21/2022,2/28/2022,Sudah Kembali
,Panduan Integrasi Nilai Multikultur Dalam Pendidikan Agama Islam Pada SMA dan SMK,Buku Teks,2/21/2022,2/28/2022,Sudah Kembali
,"Dinamika pendidikan Islam minoritas: eksistensi, kontestasi dan konvergensi",Disertasi,2/21/2022,2/28/2022,Sudah Kembali
pascasarjana,Sosiologi Perubahan Sosial,Buku Teks,2/21/2022,2/28/2022,Sudah Kembali
pascasarjana,Kekerasan Dalam Perspektif Pesantren,Buku Teks,2/21/2022,2/28/2022,Sudah Kembali
,Tujuh Puluh Tahun Prof. Dr. H.M. Rasjidi,Buku Teks,2/18/2022,2/25/2022,Sudah Kembali
,Bang saidal : Konsistensi anak zaman,Buku Teks,2/18/2022,2/25/2022,Sudah Kembali
pascasarjana,Teori kritik sastra arab; klasik dan modern,Buku Teks,2/18/2022,2/25/2022,Sudah Kembali
pascasarjana,Kesusastraan Arab: pengantar teori dan terapan,Buku Teks,2/18/2022,2/25/2022,Sudah Kembali
,The Islamic World,Buku Teks,2/17/2022,2/24/2022,Sudah Kembali
,Syiah Menurut Syiah,Buku Teks,2/17/2022,2/24/2022,Sudah Kembali
,Terorisme,Buku Teks,2/17/2022,2/24/2022,Sudah Kembali
